"";"id";"Le";"L";"LX";"LXG1";"LXG2";"DIFN";"MTA.ell";"x";"VZA";"rings";"azimuths";"mask";"lens";"channel";"stretch";"gamma";"zonal";"method";"thd"
"549";"GSAH1548.JPG";3,58;3,58;1;1;1;11,218;78;0,33;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"107"
"550";"GSAH1549.JPG";3,39;3,39;1;1;1;12,643;64;0,78;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"109"
"551";"GSAH1550.JPG";3,37;3,37;1;1;1;12,78;78;0,33;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"116"
"552";"GSAH1551.JPG";3,39;3,39;1;1;1;12,665;67;0,67;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"111"
"553";"GSAH1552.JPG";3,55;3,55;1;1;1;11,472;64;0,78;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"111"
"554";"GSAH1553.JPG";3,39;3,39;1;1;1;12,605;69;0,59;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"114"
"555";"GSAH1554.JPG";3,08;3,08;1;1;1;15,241;68;0,62;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"117"
"556";"GSAH1555.JPG";2,92;2,92;1;1;1;16,828;78;0,33;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"119"
"557";"GSAH1556.JPG";2,99;2,99;1;1;1;16,082;69;0,61;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"117"
"558";"GSAH1557.JPG";2,8;2,8;1;1;1;18,122;77;0,34;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"121"
"559";"GSAH1558.JPG";2,74;2,74;1;1;1;18,776;81;0,24;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"117"
"560";"GSAH1559.JPG";2,86;2,86;1;1;1;17,483;66;0,69;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"117"
"561";"GSAH1560.JPG";2,88;2,88;1;1;1;17,189;68;0,62;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"119"
"562";"GSAH1561.JPG";3,06;3,06;1;1;1;15,403;70;0,58;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"117"
"563";"GSAH1562.JPG";3,23;3,23;1;1;1;13,933;70;0,58;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"114"
"564";"GSAH1563.JPG";3,11;3,11;1;1;1;14,985;64;0,78;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"114"
"565";"GSAH1564.JPG";3,27;3,27;1;1;1;13,619;78;0,33;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"114"
"566";"GSAH1565.JPG";3,47;3,47;1;1;1;12,033;70;0,58;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"117"
"567";"GSAH1566.JPG";2,76;2,76;1;1;1;18,535;84;0,15;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"117"
"568";"GSAH1567.JPG";3,16;3,16;1;1;1;14,549;77;0,34;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"113"
"569";"GSAH1568.JPG";2,86;2,86;1;1;1;17,49;78;0,33;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"121"
"570";"GSAH1569.JPG";2,89;2,89;1;1;1;17,112;69;0,6;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"114"
"571";"GSAH1570.JPG";3,06;3,06;1;1;1;15,462;66;0,69;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"120"
"572";"GSAH1571.JPG";3,19;3,19;1;1;1;14,257;78;0,33;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"114"
"573";"GSAH1572.JPG";2,84;2,84;1;1;1;17,696;86;0,11;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"123"
"574";"GSAH1573.JPG";3,72;3,72;1;1;1;10,305;18;4,39;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"114"
"575";"GSAH1574.JPG";2,61;2,61;1;1;1;20,268;70;0,55;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"127"
"576";"GSAH1575.JPG";2,92;2,92;1;1;1;16,835;66;0,71;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"119"
"577";"GSAH1576.JPG";2,6;2,6;1;1;1;20,421;70;0,58;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"130"
"578";"GSAH1577.JPG";2,79;2,79;1;1;1;18,244;53;1,22;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"126"
"579";"GSAH1578.JPG";2,75;2,75;1;1;1;18,626;68;0,62;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"124"
"580";"GSAH1579.JPG";2,6;2,6;1;1;1;20,459;81;0,22;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"126"
"581";"GSAH1580.JPG";2,9;2,9;1;1;1;17,018;70;0,58;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"119"
"582";"GSAH1581.JPG";2,7;2,7;1;1;1;19,205;81;0,23;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"121"
"583";"GSAH1582.JPG";3,08;3,08;1;1;1;15,233;75;0,42;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"114"
"584";"GSAH1583.JPG";3,01;3,01;1;1;1;15,964;69;0,6;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"114"
"585";"GSAH1584.JPG";3,17;3,17;1;1;1;14,44;70;0,55;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"111"
"586";"GSAH1585.JPG";2,92;2,92;1;1;1;16,817;69;0,6;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"116"
"587";"GSAH1586.JPG";3;3;1;1;1;16,031;63;0,79;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"111"
"588";"GSAH1587.JPG";3,09;3,09;1;1;1;15,134;81;0,23;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"117"
"589";"GSAH1588.JPG";3,49;3,49;1;1;1;11,888;64;0,78;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"116"
