"";"Pic_Name";"eff_LAI";"act_LAI";"Gap_Frac";"Mean_Leaf_Angle";"Rings";"Azimuths"
"1572";"GSAH2571.JPG";3,87;3,87;9,435;64;1;1
"1573";"GSAH2572.JPG";4,14;4,14;8,007;24;1;1
"1574";"GSAH2573.JPG";3,98;3,98;8,789;70;1;1
"1575";"GSAH2574.JPG";3,66;3,66;10,681;70;1;1
"1576";"GSAH2575.JPG";3,81;3,81;9,772;78;1;1
"1577";"GSAH2576.JPG";3,36;3,36;12,847;84;1;1
"1578";"GSAH2577.JPG";3,66;3,66;10,681;25;1;1
"1579";"GSAH2578.JPG";3,7;3,7;10,442;14;1;1
"1580";"GSAH2579.JPG";4,39;4,39;6,84;62;1;1
"1581";"GSAH2580.JPG";3,73;3,73;10,276;25;1;1
"1582";"GSAH2581.JPG";3,45;3,45;12,206;80;1;1
"1583";"GSAH2582.JPG";3,6;3,6;11,083;79;1;1
"1584";"GSAH2583.JPG";3,65;3,65;10,772;81;1;1
"1585";"GSAH2584.JPG";3,63;3,63;10,935;77;1;1
"1586";"GSAH2585.JPG";3,5;3,5;11,786;82;1;1
"1587";"GSAH2586.JPG";3,11;3,11;14,986;64;1;1
"1588";"GSAH2587.JPG";2,95;2,95;16,55;64;1;1
"1589";"GSAH2588.JPG";3,14;3,14;14,701;86;1;1
"1590";"GSAH2589.JPG";2,86;2,86;17,464;78;1;1
"1591";"GSAH2590.JPG";2,86;2,86;17,406;69;1;1
"1592";"GSAH2591.JPG";3,04;3,04;15,623;25;1;1
"1593";"GSAH2592.JPG";2,99;2,99;16,087;70;1;1
"1594";"GSAH2593.JPG";3;3;16,054;14;1;1
"1595";"GSAH2594.JPG";2,91;2,91;16,959;64;1;1
"1596";"GSAH2595.JPG";2,93;2,93;16,715;78;1;1
"1597";"GSAH2596.JPG";2,84;2,84;17,67;67;1;1
"1598";"GSAH2597.JPG";2,85;2,85;17,562;76;1;1
"1599";"GSAH2598.JPG";2,62;2,62;20,17;69;1;1
"1600";"GSAH2599.JPG";2,5;2,5;21,724;64;1;1
"1601";"GSAH2600.JPG";3,15;3,15;14,655;64;1;1
